id,user,contest,place
1597,180,197,171
1598,181,1,181
1599,181,20,115
1600,181,41,46
1601,181,55,131
1602,181,66,53
1603,181,90,82
1604,181,105,90
1605,181,122,97
1606,181,152,197
1607,181,155,108
1608,181,161,68
1609,181,163,80
1610,181,181,75
1611,182,1,182
1612,182,14,80
1613,182,16,34
1614,183,1,183
1615,183,14,174
1616,184,1,183
1617,184,26,123
1618,184,34,21
1619,184,43,184
1620,184,88,81
1621,184,95,182
1622,184,103,165
1623,184,140,127
1624,184,141,29
1625,184,144,140
1626,185,1,185
1627,185,9,100
1628,186,1,186
1629,186,32,62
1630,186,42,186
1631,186,67,117
1632,186,90,108
1633,186,129,88
1634,186,161,94
1635,187,1,187
1636,187,82,52
1637,187,96,138
1638,188,1,188
1639,188,3,65
1640,188,14,143
1641,188,20,5
1642,188,39,99
1643,188,42,27
1644,188,58,37
1645,188,90,31
1646,188,94,48
1647,188,97,69
1648,188,109,41
1649,188,119,113
1650,188,120,117
1651,188,136,195
1652,188,138,123
1653,188,161,76
1654,188,179,193
1655,189,1,189
1656,190,1,190
1657,190,7,18
1658,190,64,64
1659,190,133,72
